Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.287,6.686
2,Rice,2.389,7.16
3,Rice,2.103,6.229
4,Rice,2.37,7.205
5,Rice,2.451,7.065
6,Rice,2.194,6.119
7,Rice,2.271,6.712
8,Rice,1.951,6.863
9,Rice,2.387,7.111
10,Rice,2.262,6.153
11,Rice,2.104,6.448
12,Rice,2.145,7.019
13,Rice,2.289,7.11
14,Rice,2.394,6.44
15,Rice,1.846,6.371
16,Rice,2.137,6.557
17,Rice,2.53,6.496
18,Rice,1.95,6.691
19,Rice,2.396,6.214
20,Rice,2.119,6.875
21,Rice,2.204,6.329
22,Rice,2.159,6.604
23,Rice,2.045,6.078
1,Break,2.163,3.799
24,Rice,1.993,6.492
25,Rice,1.939,6.881
26,Rice,2.287,6.788
27,Rice,1.975,6.898
28,Rice,2.023,5.777
29,Rice,2.032,6.646
2,Break,2.142,2.628
30,Rice,2.319,6.337
3,Break,2.027,4.259
31,Rice,2.256,6.175
32,Rice,2.286,4.297
