Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.465,6.86
2,Rice,2.442,6.626
1,Break,2.239,4.768
3,Rice,2.041,6.861
4,Rice,2.461,7.351
5,Rice,2.571,7.068
6,Rice,2.445,7.362
7,Rice,2.484,6.569
8,Rice,2.115,6.435
9,Rice,2.485,6.84
10,Rice,2.319,6.879
11,Rice,2.392,6.879
12,Rice,2.401,6.803
13,Rice,2.363,6.534
14,Rice,2.383,7.035
15,Rice,2.33,6.862
16,Rice,2.235,6.673
17,Rice,2.447,6.9
18,Rice,2.15,6.802
19,Rice,2.444,6.866
20,Rice,2.519,7.068
21,Rice,1.933,6.724
22,Rice,2.398,6.816
23,Rice,2.237,6.88
24,Rice,2.415,7.235
25,Rice,2.392,7.108
26,Rice,2.551,7.318
27,Rice,2.273,6.661
28,Rice,2.494,7.073
29,Rice,2.443,6.865
30,Rice,2.434,6.82
31,Rice,2.335,7.466
32,Rice,2.472,6.669
33,Rice,2.429,6.596
34,Rice,2.319,7.004
35,Rice,2.482,7.185
36,Rice,2.398,7.121
37,Rice,2.446,7.132
38,Rice,2.533,6.886
39,Rice,2.34,6.546
40,Rice,2.195,6.797
1,Inferior,2.15,7.166
1,Rice,2.421,7.237
2,Rice,2.311,7.161
3,Rice,2.441,7.566
4,Rice,2.308,7.252
5,Rice,2.413,7.374
6,Rice,2.316,7.248
7,Rice,2.386,6.98
8,Rice,2.46,7.067
9,Rice,2.002,6.605
10,Rice,2.412,7.024
11,Rice,2.314,7.215
12,Rice,2.448,7.012
13,Rice,2.459,7.2
14,Rice,2.318,7.03
15,Rice,2.382,7.286
16,Rice,2.34,7.513
17,Rice,2.441,7.321
18,Rice,2.335,7.124
19,Rice,2.335,6.944
20,Rice,2.144,7.372
21,Rice,2.498,7.175
22,Rice,2.471,7.223
23,Rice,2.436,7.473
24,Rice,2.402,6.856
25,Rice,2.414,7.443
26,Rice,2.364,6.975
27,Rice,2.427,7.698
28,Rice,2.398,7.682
29,Rice,2.032,6.884
1,Rice,2.454,7.303
2,Rice,2.364,6.761
3,Rice,2.296,7.469
4,Rice,2.339,6.521
5,Rice,2.36,7.217
6,Rice,2.396,6.599
7,Rice,2.315,6.423
8,Rice,2.316,7.122
9,Rice,2.373,7.122
10,Rice,1.988,7.469
11,Rice,2.017,6.628
12,Rice,2.252,7.286
13,Rice,2.435,6.898
14,Rice,2.146,6.83
15,Rice,2.469,6.672
16,Rice,2.42,6.825
17,Rice,2.447,6.495
18,Rice,2.497,6.58
19,Rice,2.381,6.494
20,Rice,2.249,6.735
21,Rice,2.366,7.069
22,Rice,2.373,7.031
23,Rice,2.381,7.347
24,Rice,2.371,6.921
25,Rice,2.373,6.368
26,Rice,2.329,6.749
27,Rice,2.418,6.588
28,Rice,2.384,6.526
29,Rice,2.471,6.61
30,Rice,2.425,6.578
31,Rice,2.322,7.311
32,Rice,2.435,6.895
33,Rice,2.437,6.855
34,Rice,2.249,6.742
35,Rice,2.477,7.121
36,Rice,2.396,7.183
37,Rice,2.398,6.894
38,Rice,2.249,7.318
39,Rice,2.329,6.771
40,Rice,2.344,6.938
41,Rice,2.211,6.941
42,Rice,2.276,7.591
1,Inferior,2.276,6.258
1,Rice,2.331,7.307
2,Rice,2.188,6.828
3,Rice,2.321,7.416
4,Rice,2.365,7.543
5,Rice,2.37,7.171
6,Rice,2.314,6.894
7,Rice,2.324,7.341
8,Rice,2.457,7.328
9,Rice,2.31,7.421
10,Rice,2.26,7.405
11,Rice,2.405,7.298
12,Rice,2.421,7.28
13,Rice,2.327,7.416
14,Rice,2.393,6.749
15,Rice,2.212,7.252
16,Rice,2.141,7.3
17,Rice,2.469,7.077
18,Rice,2.262,6.576
19,Rice,2.076,7.521
20,Rice,2.361,7.594
1,Inferior,2.189,6.828
21,Rice,2.323,7.496
22,Rice,2.286,6.773
23,Rice,2.338,7.356
24,Rice,2.339,7.382
25,Rice,2.371,6.9
26,Rice,2.137,6.418
27,Rice,2.197,7.222
28,Rice,2.36,7.231
29,Rice,2.371,7.185
30,Rice,2.413,7.086
2,Inferior,2.104,6.67
31,Rice,2.294,7.071
32,Rice,2.29,7.418
33,Rice,2.349,7.276
34,Rice,2.313,6.75
35,Rice,2.402,7.483
36,Rice,1.971,6.899
37,Rice,2.458,7.551
38,Rice,2.157,7.317
39,Rice,2.09,7.113
3,Inferior,2.159,7.089
1,Break,2.34,5.636
4,Inferior,2.12,6.146
2,Break,2.218,6.128
5,Inferior,2.204,5.651
3,Break,2.158,5.73
1,Rice,2.384,7.159
2,Rice,2.471,6.91
3,Rice,2.369,6.995
4,Rice,2.394,7.232
5,Rice,2.223,6.922
6,Rice,2.326,6.77
7,Rice,2.426,6.689
8,Rice,2.434,6.641
9,Rice,2.272,7.114
10,Rice,2.412,7.172
11,Rice,2.312,6.315
