Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
2,Break,2.101,4.875
24,Rice,2.147,6.146
25,Rice,2.142,5.984
26,Rice,1.974,6.378
27,Rice,2.011,5.752
28,Rice,2.138,5.863
29,Rice,2.001,5.465
30,Rice,1.902,5.871
31,Rice,2.111,6.118
32,Rice,2.216,5.98
33,Rice,2.113,5.96
34,Rice,2.183,5.135
35,Rice,2.022,5.819
36,Rice,2.032,6.247
37,Rice,1.978,5.814
38,Rice,1.934,5.989
39,Rice,2.141,5.953
40,Rice,1.933,5.606
41,Rice,2.023,6.309
42,Rice,2.147,5.848
3,Break,1.637,2.902
1,Inferior,2.007,5.355
2,Inferior,2.184,6.502
1,Rice,2.177,6.21
2,Rice,2.152,6.489
3,Rice,2.144,6.034
4,Rice,2.138,6.315
5,Rice,2.107,6.17
6,Rice,2.274,6.288
7,Rice,2.166,6.085
8,Rice,2.084,6.096
9,Rice,2.134,6.004
10,Rice,2.078,6.112
11,Rice,2.086,5.892
12,Rice,2.268,6.145
13,Rice,2.21,6.274
14,Rice,2.125,6.121
15,Rice,2.119,5.719
16,Rice,1.929,5.935
17,Rice,2.02,6.068
18,Rice,2.12,6.094
19,Rice,2.274,6.159
20,Rice,2.179,5.929
21,Rice,2.132,5.692
22,Rice,2.102,6.108
23,Rice,2.135,6.042
24,Rice,1.929,5.96
25,Rice,2.076,5.711
26,Rice,2.202,6.008
27,Rice,2.166,6.02
28,Rice,2.125,6.047
29,Rice,2.125,6.32
30,Rice,2.118,6.313
31,Rice,2.178,5.583
32,Rice,2.034,6.138
33,Rice,2.14,6.016
34,Rice,2.07,6.223
35,Rice,2.148,5.838
36,Rice,1.857,6.034
37,Rice,2.026,5.812
38,Rice,2.102,5.677
39,Rice,2.084,6.187
40,Rice,2.036,6.461
41,Rice,2.158,6.201
42,Rice,2.011,6.117
43,Rice,2.21,5.693
44,Rice,2.079,6.321
45,Rice,2.175,6.227
46,Rice,2.08,6.14
47,Rice,2.05,5.78
48,Rice,2.121,5.787
49,Rice,2.03,6.209
1,Break,2.113,4.663
