Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
14,Rice,2.097,7.734
15,Rice,1.931,7.721
16,Rice,1.856,7.264
17,Rice,2.148,7.38
18,Rice,1.969,7.421
19,Rice,2.202,7.723
1,Inferior,2.053,6.894
20,Rice,2.053,7.451
21,Rice,1.923,7.33
22,Rice,2.012,7.437
23,Rice,2.143,7.708
2,Inferior,1.949,7.072
24,Rice,1.923,7.412
25,Rice,2.191,7.477
26,Rice,2.022,7.171
3,Inferior,2.015,7.77
27,Rice,2.036,7.787
1,Rice,1.932,6.947
2,Rice,1.869,7.283
3,Rice,1.908,7.273
4,Rice,2.028,6.758
5,Rice,2.182,7.077
6,Rice,2.149,6.892
7,Rice,1.963,6.821
8,Rice,1.828,6.43
9,Rice,2.107,6.729
10,Rice,1.972,6.773
11,Rice,2.129,7.051
12,Rice,2.102,6.778
13,Rice,2.1,6.804
14,Rice,2.098,6.979
1,Break,1.871,4.209
2,Break,2.028,3.117
15,Rice,1.907,7.179
16,Rice,1.854,7.31
17,Rice,2.094,7.102
18,Rice,2.126,7.013
19,Rice,1.868,7.43
20,Rice,1.725,6.833
21,Rice,2.158,7.187
22,Rice,1.965,6.844
23,Rice,1.937,7.056
24,Rice,2.034,7.047
25,Rice,2.084,6.897
26,Rice,2.049,6.645
27,Rice,1.867,7.06
28,Rice,1.811,6.666
29,Rice,1.889,6.97
30,Rice,1.841,7.094
31,Rice,1.969,7.171
32,Rice,2.088,6.932
33,Rice,2.094,6.734
34,Rice,2.163,7.263
35,Rice,2.065,6.86
36,Rice,1.884,6.562
37,Rice,2.215,7.013
1,Inferior,1.925,7.04
3,Break,0.986,3.005
1,Rice,2.137,7.094
2,Rice,2.314,7.405
3,Rice,2.201,7.403
4,Rice,2.058,7.45
5,Rice,2.256,7.64
6,Rice,2.257,7.414
7,Rice,2.256,7.896
8,Rice,2.264,7.569
9,Rice,2.405,7.38
10,Rice,2.281,7.435
11,Rice,2.257,7.529
12,Rice,2.284,7.572
13,Rice,2.346,7.226
14,Rice,2.306,7.628
15,Rice,2.187,6.69
1,Break,2.267,3.689
16,Rice,2.155,7.264
17,Rice,2.355,7.45
18,Rice,2.275,7.64
19,Rice,2.005,7.5
20,Rice,2.346,7.451
21,Rice,2.032,7.451
22,Rice,2.141,7.433
23,Rice,2.158,7.367
24,Rice,2.346,7.226
2,Break,2.256,3.3
25,Rice,2.338,7.691
3,Break,2.319,4.324
26,Rice,2.359,7.374
27,Rice,2.271,7.528
28,Rice,2.269,7.37
4,Break,2.186,4.478
29,Rice,2.28,7.409
30,Rice,2.187,7.539
31,Rice,2.373,7.634
32,Rice,2.319,7.298
33,Rice,2.273,7.389
