Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
4,Rice,2.667,5.588
5,Rice,2.533,5.958
6,Rice,2.713,6.12
7,Rice,2.746,6.053
8,Rice,2.545,5.855
9,Rice,2.735,5.708
10,Rice,2.735,5.987
11,Rice,2.628,5.945
12,Rice,2.676,5.833
13,Rice,2.72,5.803
14,Rice,2.622,6.013
15,Rice,2.694,5.772
16,Rice,2.65,5.718
17,Rice,2.587,5.744
18,Rice,2.535,5.719
19,Rice,2.387,6.045
20,Rice,2.413,5.673
21,Rice,2.383,5.712
22,Rice,2.48,5.464
23,Rice,2.667,5.8
24,Rice,2.651,5.846
25,Rice,2.481,5.44
26,Rice,2.423,5.818
27,Rice,2.582,5.715
28,Rice,2.484,5.578
29,Rice,2.392,5.736
1,Rice,2.674,5.808
2,Rice,2.744,5.567
3,Rice,2.723,5.689
4,Rice,2.679,5.822
5,Rice,2.799,6.045
6,Rice,2.614,5.693
7,Rice,2.649,5.803
8,Rice,2.601,5.532
9,Rice,2.646,6.102
10,Rice,2.743,5.908
11,Rice,2.667,5.927
12,Rice,2.658,5.703
13,Rice,2.655,5.841
14,Rice,2.768,5.786
15,Rice,2.485,5.652
16,Rice,2.561,5.948
17,Rice,2.744,5.604
18,Rice,2.709,5.863
19,Rice,2.624,5.379
20,Rice,2.38,5.946
21,Rice,2.561,5.8
22,Rice,2.425,5.602
23,Rice,2.633,5.85
24,Rice,2.661,5.888
25,Rice,2.644,5.469
26,Rice,2.432,5.208
27,Rice,2.561,5.63
1,Rice,2.689,5.683
2,Rice,2.449,5.551
3,Rice,2.717,5.594
4,Rice,2.793,5.679
5,Rice,2.587,5.477
6,Rice,2.619,5.673
7,Rice,2.602,5.691
8,Rice,2.546,5.485
9,Rice,2.613,5.856
10,Rice,2.749,5.9
11,Rice,2.663,6.004
12,Rice,2.569,5.591
13,Rice,2.685,5.687
14,Rice,2.7,5.887
15,Rice,2.683,5.548
16,Rice,2.64,5.749
17,Rice,2.561,5.694
18,Rice,2.618,5.707
19,Rice,2.725,5.759
20,Rice,2.634,5.977
21,Rice,2.557,5.598
22,Rice,2.49,5.445
23,Rice,2.574,5.912
24,Rice,2.544,5.658
25,Rice,2.669,5.708
26,Rice,2.614,5.982
27,Rice,2.477,5.695
28,Rice,2.51,5.711
29,Rice,2.456,5.815
30,Rice,2.432,5.703
31,Rice,2.66,5.613
32,Rice,2.619,5.693
33,Rice,2.654,5.719
34,Rice,2.463,5.618
35,Rice,2.561,5.821
36,Rice,2.609,5.809
37,Rice,2.488,5.667
38,Rice,2.561,5.927
39,Rice,2.573,5.634
40,Rice,2.369,5.27
41,Rice,2.693,5.759
42,Rice,2.314,5.213
43,Rice,2.358,5.129
44,Rice,2.608,5.758
1,Rice,2.316,5.354
2,Rice,2.349,5.419
3,Rice,2.292,5.368
4,Rice,2.391,5.199
5,Rice,2.389,5.06
6,Rice,2.335,5.433
7,Rice,2.249,5.144
8,Rice,2.277,5.383
9,Rice,2.297,5.474
10,Rice,2.413,5.308
11,Rice,2.384,5.285
12,Rice,2.371,5.524
13,Rice,2.358,5.046
14,Rice,2.349,5.04
15,Rice,2.281,5.44
16,Rice,2.279,5.49
17,Rice,2.186,5.191
18,Rice,2.333,5.064
19,Rice,2.339,5.021
20,Rice,2.06,5.014
21,Rice,2.386,5.239
22,Rice,2.336,5.462
23,Rice,2.274,4.71
24,Rice,2.26,4.954
25,Rice,2.167,5.139
