Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
2,Rice,2.339,7.028
3,Rice,2.32,6.75
4,Rice,2.299,7.321
5,Rice,2.417,7.331
6,Rice,2.223,7.208
7,Rice,2.349,7.027
8,Rice,2.424,6.778
9,Rice,2.237,6.916
10,Rice,2.383,6.829
11,Rice,2.358,6.88
12,Rice,2.247,7.311
13,Rice,2.272,7.47
14,Rice,2.355,7.339
15,Rice,2.323,7.293
16,Rice,2.395,6.844
17,Rice,2.378,6.924
18,Rice,2.246,6.869
19,Rice,2.44,7.407
20,Rice,2.223,7.111
21,Rice,2.396,6.984
22,Rice,2.419,7.06
23,Rice,2.271,6.65
1,Rice,2.365,7.071
2,Rice,2.355,6.874
3,Rice,2.336,6.991
4,Rice,2.337,7.277
5,Rice,2.315,6.753
6,Rice,2.297,7.206
7,Rice,2.51,7.319
8,Rice,2.374,6.957
9,Rice,2.35,6.934
10,Rice,2.388,7.049
11,Rice,2.408,7.169
12,Rice,2.352,7.076
13,Rice,2.43,7.04
14,Rice,2.136,6.999
15,Rice,2.313,7.229
16,Rice,2.09,7.449
17,Rice,2.242,7.365
18,Rice,2.372,7.053
19,Rice,2.291,7.063
20,Rice,2.348,7.262
21,Rice,2.493,6.831
22,Rice,2.24,6.49
23,Rice,2.302,6.954
24,Rice,2.313,7.048
25,Rice,2.477,7.076
26,Rice,2.335,7.185
27,Rice,2.429,7.144
28,Rice,2.36,6.728
29,Rice,2.251,7.424
1,Inferior,2.18,6.583
30,Rice,2.347,7.207
2,Inferior,2.115,5.899
3,Inferior,2.07,5.533
1,Break,2.291,5.979
31,Rice,2.358,6.721
1,Rice,2.256,7.191
2,Rice,2.308,7.149
3,Rice,2.324,7.311
4,Rice,2.304,7.451
5,Rice,2.364,7.029
6,Rice,2.321,7.221
7,Rice,2.376,7.058
8,Rice,2.288,7.321
9,Rice,2.132,6.947
10,Rice,2.292,6.832
11,Rice,2.078,7.217
12,Rice,2.359,7.048
13,Rice,2.274,6.974
14,Rice,2.281,7.192
15,Rice,2.252,7.123
16,Rice,2.217,7.109
17,Rice,2.418,7.053
18,Rice,2.322,7.09
19,Rice,2.387,7.027
20,Rice,2.321,6.357
21,Rice,2.33,6.683
22,Rice,2.192,7.085
23,Rice,2.481,6.94
24,Rice,2.244,6.837
25,Rice,2.383,6.747
26,Rice,2.366,7.7
27,Rice,2.301,7.168
1,Inferior,2.187,6.834
28,Rice,2.33,7.432
29,Rice,2.291,6.851
30,Rice,2.325,6.352
31,Rice,2.323,6.873
32,Rice,2.273,7.235
33,Rice,2.215,6.844
34,Rice,2.372,7.037
