Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
9,Rice,2.379,7.074
10,Rice,2.327,7.003
11,Rice,2.171,6.377
12,Rice,2.188,7.05
13,Rice,2.254,6.858
14,Rice,2.397,6.619
15,Rice,2.225,6.541
16,Rice,2.305,7.064
17,Rice,2.237,7.039
18,Rice,2.05,6.733
1,Inferior,2.04,6.751
19,Rice,2.241,6.859
20,Rice,2.361,7.198
2,Inferior,2.446,6.297
21,Rice,2.349,7.091
3,Inferior,2.126,7.019
22,Rice,2.23,6.996
23,Rice,2.275,6.805
1,Rice,2.225,7.291
2,Rice,2.274,6.853
3,Rice,2.31,7.128
4,Rice,2.135,7.37
5,Rice,2.375,6.676
6,Rice,2.35,7.222
7,Rice,2.267,7.322
8,Rice,2.262,6.878
9,Rice,2.32,7.064
10,Rice,2.376,6.937
11,Rice,2.322,7.171
12,Rice,2.39,6.995
13,Rice,2.436,7.048
14,Rice,2.325,6.795
15,Rice,2.297,7.256
16,Rice,2.428,6.982
17,Rice,2.371,7.09
18,Rice,2.376,7.091
19,Rice,2.193,7.279
20,Rice,2.352,6.935
21,Rice,2.08,7.439
22,Rice,2.519,7.065
23,Rice,2.051,6.901
24,Rice,2.215,6.729
25,Rice,2.032,6.365
26,Rice,2.228,7.114
27,Rice,2.293,6.648
28,Rice,2.348,6.825
29,Rice,2.411,6.735
30,Rice,2.343,6.481
1,Inferior,1.954,6.375
31,Rice,2.47,7.337
32,Rice,1.992,6.948
33,Rice,2.311,6.783
34,Rice,2.383,6.85
35,Rice,2.006,7.169
36,Rice,2.39,6.94
2,Inferior,1.852,6.358
3,Inferior,2.251,6.021
37,Rice,2.304,6.844
1,Rice,2.202,7.171
2,Rice,2.294,6.969
3,Rice,2.328,6.871
4,Rice,2.198,6.459
5,Rice,2.355,6.986
6,Rice,2.329,6.882
7,Rice,2.16,7.095
8,Rice,2.258,6.958
9,Rice,2.449,7.169
10,Rice,2.199,6.958
11,Rice,2.158,6.988
12,Rice,2.31,7.116
13,Rice,2.182,6.923
14,Rice,2.09,7.248
15,Rice,2.295,7.128
16,Rice,2.196,7.04
17,Rice,2.208,7.214
18,Rice,2.382,6.868
19,Rice,2.439,6.869
20,Rice,2.094,7.212
21,Rice,2.191,6.656
22,Rice,2.31,6.951
23,Rice,2.287,6.66
24,Rice,2.303,7.097
25,Rice,2.134,7.005
26,Rice,2.365,7.012
27,Rice,2.171,6.808
1,Break,2.159,2.371
28,Rice,2.368,5.962
29,Rice,2.211,7.075
30,Rice,2.092,6.991
31,Rice,2.261,6.901
1,Inferior,1.938,6.486
2,Inferior,2.053,6.287
2,Break,1.964,6.2
