Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
37,Rice,2.663,5.986
38,Rice,2.667,5.821
39,Rice,2.525,5.823
40,Rice,2.568,5.713
41,Rice,2.312,5.158
42,Rice,2.364,5.428
43,Rice,2.665,5.691
44,Rice,2.243,5.569
1,Rice,2.523,5.728
2,Rice,2.666,6.131
3,Rice,2.583,5.875
4,Rice,2.592,5.757
5,Rice,2.487,5.485
6,Rice,2.533,5.609
7,Rice,2.607,6.05
8,Rice,2.683,5.85
9,Rice,2.621,5.733
10,Rice,2.589,5.841
11,Rice,2.544,5.699
12,Rice,2.514,6.109
13,Rice,2.612,6.094
14,Rice,2.595,5.633
15,Rice,2.691,5.836
16,Rice,2.498,5.6
17,Rice,2.392,6.054
18,Rice,2.605,5.959
19,Rice,2.603,5.884
20,Rice,2.73,5.821
21,Rice,2.556,6.026
22,Rice,2.568,5.836
23,Rice,2.62,6.136
24,Rice,2.568,5.891
25,Rice,2.349,5.397
26,Rice,2.623,6.059
27,Rice,2.607,5.603
28,Rice,2.443,5.61
29,Rice,2.19,5.096
30,Rice,2.477,5.927
1,Rice,2.724,5.756
2,Rice,2.638,5.676
3,Rice,2.665,5.647
4,Rice,2.646,5.459
5,Rice,2.741,5.93
6,Rice,2.716,5.911
7,Rice,2.515,5.593
8,Rice,2.636,5.431
9,Rice,2.685,5.466
10,Rice,2.771,5.881
11,Rice,2.736,5.888
12,Rice,2.736,5.755
13,Rice,2.678,5.737
14,Rice,2.794,5.397
15,Rice,2.688,5.584
16,Rice,2.77,5.493
17,Rice,2.715,5.953
18,Rice,2.732,5.91
19,Rice,2.643,5.589
20,Rice,2.672,5.444
21,Rice,2.762,6.027
22,Rice,2.766,5.891
23,Rice,2.854,5.991
24,Rice,2.615,5.579
25,Rice,2.578,5.928
26,Rice,2.578,5.446
27,Rice,2.726,5.905
28,Rice,2.582,5.715
29,Rice,2.391,5.928
30,Rice,2.625,6.011
31,Rice,2.458,5.076
32,Rice,2.561,5.292
1,Rice,2.538,5.327
2,Rice,2.646,5.863
3,Rice,2.518,5.618
4,Rice,2.651,5.89
5,Rice,2.445,5.813
6,Rice,2.456,5.605
7,Rice,2.683,5.815
8,Rice,2.517,5.691
9,Rice,2.501,5.721
10,Rice,2.609,5.617
11,Rice,2.598,5.734
12,Rice,2.415,5.528
13,Rice,2.709,5.736
14,Rice,2.59,5.591
15,Rice,2.528,5.71
16,Rice,2.638,5.88
17,Rice,2.404,5.538
18,Rice,2.574,5.613
19,Rice,2.544,5.808
20,Rice,2.455,5.679
21,Rice,2.434,5.863
22,Rice,2.67,6.003
23,Rice,2.461,5.99
24,Rice,2.423,5.678
25,Rice,2.652,5.757
26,Rice,2.427,5.409
27,Rice,2.453,6.006
28,Rice,2.55,5.724
29,Rice,2.474,5.912
30,Rice,2.401,5.547
31,Rice,2.474,5.785
32,Rice,2.251,5.163
33,Rice,2.558,5.887
34,Rice,2.462,5.411
35,Rice,2.426,5.345
36,Rice,2.477,5.567
1,Rice,2.416,5.459
2,Rice,2.33,5.214
3,Rice,2.322,5.266
4,Rice,2.259,5.12
5,Rice,2.098,5.049
6,Rice,2.256,5.428
7,Rice,2.216,5.213
8,Rice,2.256,5.315
9,Rice,2.307,5.143
10,Rice,2.375,5.511
11,Rice,2.354,5.487
12,Rice,2.307,5.397
13,Rice,2.307,5.101
14,Rice,2.129,4.788
15,Rice,2.103,5.208
16,Rice,2.168,4.955
17,Rice,2.223,5.271
18,Rice,2.315,5.12
19,Rice,2.439,5.017
20,Rice,2.19,5.07
21,Rice,2.288,4.883
22,Rice,2.221,4.612
23,Rice,2.237,5.064
24,Rice,2.159,5.165
25,Rice,2.239,5.032
26,Rice,2.068,5.348
27,Rice,2.207,5.129
28,Rice,2.244,4.995
29,Rice,2.311,4.941
30,Rice,2.11,5.007
31,Rice,1.979,4.557
32,Rice,1.941,4.679
33,Rice,2.249,4.991
34,Rice,2.186,4.775
35,Rice,2.074,4.741
36,Rice,2.066,4.72
37,Rice,2.132,5.067
38,Rice,1.96,4.852
39,Rice,1.689,4.515
