Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
5,Rice,2.206,6.295
6,Rice,2.409,6.675
7,Rice,2.187,6.371
8,Rice,2.295,6.443
9,Rice,2.316,6.322
10,Rice,2.338,6.779
11,Rice,2.411,6.55
12,Rice,2.397,6.38
13,Rice,2.292,6.92
14,Rice,2.347,6.394
15,Rice,2.391,6.526
16,Rice,2.345,6.701
17,Rice,2.349,6.43
18,Rice,2.212,6.212
1,Break,2.354,5.928
2,Break,2.078,4.563
19,Rice,2.323,6.975
3,Break,1.996,2.828
4,Break,1.87,4.806
5,Break,2.346,5.51
20,Rice,2.115,6.504
21,Rice,2.362,5.955
22,Rice,2.349,6.117
6,Break,1.766,1.811
23,Rice,1.902,6.043
24,Rice,1.884,5.594
1,Inferior,1.732,6.064
1,Rice,2.325,6.907
2,Rice,2.459,7.079
3,Rice,2.427,6.788
4,Rice,2.399,6.563
5,Rice,2.502,6.81
6,Rice,2.445,7.17
7,Rice,2.358,7.279
8,Rice,2.473,7.121
9,Rice,2.468,6.639
10,Rice,2.39,6.577
11,Rice,2.374,7.346
12,Rice,2.383,6.299
13,Rice,2.442,7.11
14,Rice,2.371,7.08
15,Rice,2.269,7.086
16,Rice,2.474,6.681
17,Rice,2.283,6.842
18,Rice,2.29,6.92
19,Rice,2.39,7.138
20,Rice,2.394,7.086
21,Rice,2.537,6.496
22,Rice,2.383,6.747
23,Rice,2.389,6.677
24,Rice,2.143,6.408
25,Rice,2.505,7.026
26,Rice,2.081,6.431
27,Rice,2.313,6.199
28,Rice,2.443,6.96
29,Rice,2.466,6.963
30,Rice,2.378,6.222
31,Rice,2.435,6.937
32,Rice,2.442,6.535
33,Rice,2.244,6.837
34,Rice,2.39,6.93
35,Rice,2.335,6.92
36,Rice,2.346,6.424
37,Rice,2.255,6.683
38,Rice,2.274,6.696
39,Rice,2.368,6.74
40,Rice,2.428,6.954
41,Rice,2.131,6.334
1,Break,1.93,1.957
42,Rice,2.236,6.324
43,Rice,2.371,6.689
44,Rice,2.262,6.24
1,Inferior,2.328,7.175
45,Rice,2.011,6.135
1,Rice,2.313,6.571
2,Rice,2.425,7.094
3,Rice,2.41,6.47
4,Rice,2.444,6.776
5,Rice,2.412,6.806
6,Rice,2.345,6.598
7,Rice,2.393,6.816
8,Rice,2.325,6.856
9,Rice,2.348,6.549
10,Rice,2.488,6.304
11,Rice,2.415,6.551
12,Rice,2.309,6.761
13,Rice,2.36,6.601
14,Rice,2.392,6.846
15,Rice,2.379,7.198
16,Rice,2.384,7.087
17,Rice,2.482,6.024
18,Rice,2.289,6.35
19,Rice,2.06,6.71
20,Rice,2.336,6.627
21,Rice,2.311,6.661
22,Rice,2.32,6.196
23,Rice,2.362,6.61
24,Rice,2.379,7.162
25,Rice,2.407,6.385
26,Rice,2.484,6.678
27,Rice,2.358,6.768
28,Rice,2.462,6.875
29,Rice,2.507,6.327
30,Rice,2.35,6.192
31,Rice,2.417,7.03
32,Rice,2.258,6.351
33,Rice,2.277,6.466
34,Rice,2.487,6.581
35,Rice,2.452,6.219
36,Rice,2.365,6.149
37,Rice,2.335,6.391
38,Rice,2.203,6.306
39,Rice,2.445,6.362
40,Rice,2.273,6.667
41,Rice,2.428,6.596
42,Rice,2.303,6.525
43,Rice,2.418,6.253
44,Rice,2.133,6.465
45,Rice,1.925,5.938
46,Rice,2.304,6.577
47,Rice,2.357,6.843
48,Rice,2.258,6.913
49,Rice,2.417,6.164
50,Rice,2.328,6.356
1,Rice,2.425,6.81
2,Rice,2.385,6.929
3,Rice,2.448,6.901
4,Rice,2.442,6.792
5,Rice,2.421,6.647
6,Rice,2.271,6.925
7,Rice,2.152,7.034
8,Rice,2.338,7.081
9,Rice,2.426,6.309
10,Rice,2.451,7.283
11,Rice,2.289,6.324
12,Rice,2.173,6.919
13,Rice,2.41,7.484
14,Rice,2.387,6.619
15,Rice,2.502,7.157
16,Rice,2.374,6.437
1,Break,2.001,3.335
17,Rice,2.139,6.948
18,Rice,2.345,6.221
19,Rice,2.448,7.009
20,Rice,2.371,6.583
21,Rice,2.353,6.855
22,Rice,2.304,6.463
23,Rice,2.373,6.702
2,Break,1.997,2.934
24,Rice,2.334,6.705
1,Inferior,1.667,5.951
25,Rice,2.401,6.857
26,Rice,2.324,6.736
27,Rice,2.422,6.894
28,Rice,2.312,6.711
29,Rice,2.012,5.999
30,Rice,2.347,6.197
3,Break,1.824,5.279
1,Rice,2.351,7.254
2,Rice,2.417,6.952
3,Rice,2.388,6.797
4,Rice,2.334,6.5
5,Rice,2.365,7.094
6,Rice,2.359,6.238
7,Rice,2.38,6.918
8,Rice,2.422,6.866
9,Rice,2.501,6.924
10,Rice,2.222,6.721
11,Rice,2.349,7.052
12,Rice,2.45,7.242
13,Rice,2.47,6.662
14,Rice,2.317,6.644
15,Rice,2.36,7.08
16,Rice,2.426,6.983
17,Rice,2.466,6.921
1,Break,2.295,4.919
1,Inferior,2.051,6.463
18,Rice,2.407,6.483
19,Rice,2.37,6.706
20,Rice,2.42,6.736
21,Rice,2.449,6.668
22,Rice,2.171,6.24
23,Rice,2.469,7.38
24,Rice,2.466,7.104
25,Rice,1.934,6.081
26,Rice,2.435,6.583
27,Rice,2.4,6.681
28,Rice,2.207,7.103
2,Inferior,2.442,6.557
29,Rice,1.975,6.567
3,Inferior,1.92,4.613
4,Inferior,2.277,6.555
2,Break,2.008,4.455
