Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.043,7.343
2,Rice,2.004,7.817
3,Rice,2.199,7.254
4,Rice,2.125,7.79
5,Rice,2.197,6.836
6,Rice,2.145,6.844
7,Rice,2.15,7.405
8,Rice,1.929,7.15
9,Rice,2.266,7.121
10,Rice,2.15,7.208
11,Rice,2.117,7.252
12,Rice,2.101,7.365
13,Rice,2.082,7.643
14,Rice,2.203,7.032
15,Rice,1.978,7.346
16,Rice,2.13,7.365
17,Rice,2.158,7.287
18,Rice,1.987,7.109
19,Rice,2.144,7.333
20,Rice,1.862,7.184
21,Rice,2.123,7.307
22,Rice,2.037,7.249
23,Rice,2.159,7.26
24,Rice,2.002,7.3
25,Rice,2.063,7.229
26,Rice,2.139,7.395
27,Rice,1.863,6.98
28,Rice,1.922,7.448
29,Rice,2.111,7.099
30,Rice,1.916,7.454
31,Rice,2.184,7.463
32,Rice,2.06,7.001
33,Rice,2.124,7.483
34,Rice,1.892,6.98
35,Rice,1.956,7.431
36,Rice,2.11,7.138
37,Rice,2.16,7.048
38,Rice,1.872,7.445
39,Rice,2.106,7.222
40,Rice,2.134,7.278
41,Rice,2.056,7.263
42,Rice,1.944,7.135
43,Rice,2.158,7.02
44,Rice,1.949,7.451
45,Rice,2.037,7.423
46,Rice,2.141,6.85
47,Rice,2.112,7.111
48,Rice,2.218,7.405
49,Rice,1.88,7.39
50,Rice,2.227,7.006
51,Rice,1.984,7.532
1,Inferior,1.987,7.013
52,Rice,1.977,7.625
53,Rice,1.99,6.976
54,Rice,1.977,7.165
55,Rice,1.858,7.249
56,Rice,1.863,6.731
57,Rice,2.067,7.016
58,Rice,2.043,7.079
59,Rice,2.058,7.125
60,Rice,2.003,7.128
61,Rice,2.05,7.311
62,Rice,1.762,6.166
