Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.436,6.774
2,Rice,2.35,6.585
3,Rice,2.431,6.262
4,Rice,2.36,6.425
5,Rice,2.434,6.371
6,Rice,2.532,6.61
7,Rice,2.378,6.477
8,Rice,2.315,6.369
9,Rice,2.413,6.667
10,Rice,2.348,6.244
11,Rice,2.429,6.504
12,Rice,2.172,6.399
13,Rice,2.352,6.312
14,Rice,2.247,6.329
15,Rice,2.496,6.46
16,Rice,2.454,6.661
17,Rice,2.286,6.265
18,Rice,2.356,6.295
19,Rice,2.442,6.566
20,Rice,2.2,6.202
21,Rice,2.461,6.807
22,Rice,2.456,6.72
23,Rice,2.306,6.798
24,Rice,2.159,6.27
25,Rice,2.428,6.645
26,Rice,2.392,6.456
27,Rice,2.262,6.572
28,Rice,2.379,6.346
29,Rice,2.236,6.391
30,Rice,2.282,6.475
1,Break,2.3,3.891
31,Rice,2.256,5.168
