Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.299,8.05
2,Rice,2.399,7.838
3,Rice,2.187,7.596
4,Rice,2.442,7.507
5,Rice,2.267,7.732
6,Rice,2.374,7.732
7,Rice,2.14,7.229
8,Rice,2.089,7.796
9,Rice,2.194,7.407
10,Rice,2.223,7.451
11,Rice,2.284,7.278
12,Rice,2.252,8.315
13,Rice,2.224,7.604
14,Rice,2.376,7.882
15,Rice,2.325,7.871
16,Rice,2.214,7.556
17,Rice,2.347,7.815
18,Rice,2.422,7.75
19,Rice,2.095,7.457
20,Rice,2.269,7.819
21,Rice,2.149,7.803
22,Rice,2.301,7.829
23,Rice,2.272,7.904
24,Rice,2.124,7.745
25,Rice,2.293,7.999
26,Rice,2.154,7.176
27,Rice,2.181,7.784
28,Rice,2.272,7.535
29,Rice,2.233,7.441
30,Rice,2.307,7.62
31,Rice,2.253,7.652
32,Rice,2.344,7.847
33,Rice,2.277,7.816
1,Inferior,2.032,6.223
2,Inferior,1.466,4.257
1,Break,1.855,1.959
34,Rice,2.091,6.752
35,Rice,2.125,7.375
36,Rice,2.077,6.831
37,Rice,2.143,7.313
3,Inferior,2.225,5.661
