Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.206,6.939
2,Rice,1.93,7.219
3,Rice,2.059,7.395
4,Rice,2.095,7.21
5,Rice,1.955,7.095
6,Rice,1.955,7.017
7,Rice,2.028,7.728
8,Rice,2.051,7.118
9,Rice,2.01,7.322
10,Rice,1.933,6.729
11,Rice,2.087,7.448
12,Rice,2.167,6.952
13,Rice,2.074,7.397
14,Rice,1.868,7.137
15,Rice,2.025,7.091
16,Rice,2.01,7.105
17,Rice,1.879,7.038
18,Rice,2.149,7.093
19,Rice,2.076,7.517
20,Rice,2.075,7.312
21,Rice,2.104,7.416
22,Rice,2.091,7.319
23,Rice,2.096,7.06
24,Rice,2.189,7.03
25,Rice,2.023,7.124
26,Rice,1.916,7.088
27,Rice,2.122,6.967
28,Rice,2.141,6.766
29,Rice,1.899,7.223
30,Rice,1.946,7.197
31,Rice,2.014,7.045
32,Rice,2.169,7.106
33,Rice,2.125,7.184
34,Rice,1.859,7.094
35,Rice,2.183,7.224
36,Rice,2.082,6.96
37,Rice,1.881,6.993
38,Rice,2.119,7.205
1,Inferior,2.111,7.058
39,Rice,1.93,7.365
1,Break,1.314,2.477
