Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.351,7.526
2,Rice,2.322,7.382
3,Rice,2.077,7.067
4,Rice,2.223,7.084
5,Rice,2.243,6.768
6,Rice,2.308,7.11
7,Rice,2.298,7.029
8,Rice,2.256,6.894
1,Break,2.296,3.66
9,Rice,2.221,6.955
10,Rice,2.028,7.06
2,Break,2.341,3.255
11,Rice,2.258,6.76
12,Rice,2.036,7.024
13,Rice,2.328,6.943
14,Rice,1.978,7.064
3,Break,1.976,5.074
15,Rice,2.286,7.091
16,Rice,2.175,7.082
17,Rice,2.085,6.916
18,Rice,2.008,7.323
4,Break,2.109,3.294
19,Rice,2.262,7.22
20,Rice,2.212,7.311
21,Rice,2.331,7.242
22,Rice,2.226,7.206
23,Rice,2.222,6.818
5,Break,1.883,5.085
24,Rice,2.321,7.226
6,Break,2.254,4.018
25,Rice,2.265,7.154
26,Rice,2.037,7.162
27,Rice,1.884,6.868
28,Rice,2.225,7.137
29,Rice,2.28,6.913
30,Rice,2.155,6.511
7,Break,1.956,2.145
8,Break,2.118,5.685
31,Rice,2.182,6.798
32,Rice,1.966,7.093
33,Rice,1.986,7.283
9,Break,1.218,4.426
1,Inferior,2.016,7.069
34,Rice,2.29,6.302
35,Rice,2.233,6.535
