Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,1.995,6.77
2,Rice,2.412,7.502
3,Rice,2.275,7.005
4,Rice,2.389,7.01
5,Rice,2.31,7.11
6,Rice,2.341,7.293
7,Rice,2.351,6.993
8,Rice,2.449,7.356
9,Rice,2.228,6.61
10,Rice,2.137,7.294
11,Rice,2.443,7.138
12,Rice,2.35,7.363
13,Rice,2.368,6.561
14,Rice,2.349,6.943
15,Rice,1.975,6.966
16,Rice,2.411,7.223
17,Rice,2.056,6.742
18,Rice,2.336,7.144
19,Rice,2.325,6.91
1,Break,2.13,3.039
20,Rice,2.316,6.842
21,Rice,2.247,6.246
22,Rice,2.353,7.115
23,Rice,2.406,6.938
24,Rice,2.382,6.426
25,Rice,2.255,7.079
26,Rice,2.135,7.138
27,Rice,2.279,7.043
28,Rice,2.349,7.048
2,Break,1.901,2.02
3,Break,2.28,5.096
29,Rice,2.397,7.148
4,Break,2.333,4.998
5,Break,2.225,4.558
1,Inferior,1.842,6.891
