Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.209,6.819
2,Rice,2.314,6.89
3,Rice,2.33,6.991
4,Rice,2.212,7.272
5,Rice,2.335,7.494
6,Rice,2.326,6.884
7,Rice,2.274,7.159
8,Rice,2.377,7.339
9,Rice,2.274,6.976
10,Rice,2.279,7.241
11,Rice,2.356,7.12
12,Rice,2.308,7.152
13,Rice,2.522,7.006
14,Rice,2.393,7.111
15,Rice,2.297,7.258
16,Rice,2.295,7.271
17,Rice,2.293,7.181
18,Rice,2.45,6.752
19,Rice,2.324,6.825
20,Rice,2.272,6.954
21,Rice,2.3,7.289
22,Rice,2.23,6.742
23,Rice,2.344,6.85
24,Rice,2.369,7.067
25,Rice,1.983,7.18
26,Rice,2.258,7.008
27,Rice,2.44,6.683
28,Rice,2.248,7.432
29,Rice,2.326,7.341
30,Rice,2.221,7.114
31,Rice,2.347,6.683
32,Rice,2.441,7.242
33,Rice,2.308,6.522
34,Rice,2.179,7.066
35,Rice,2.421,7.351
36,Rice,2.388,7.374
37,Rice,2.175,6.324
38,Rice,2.21,6.727
39,Rice,2.298,7.555
40,Rice,2.109,7.212
41,Rice,2.424,7.216
42,Rice,2.286,7.006
43,Rice,2.378,6.779
44,Rice,2.324,5.729
