Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.226,7.72
2,Rice,2.359,7.425
3,Rice,2.405,7.469
4,Rice,2.062,7.881
5,Rice,2.351,7.525
6,Rice,2.341,7.832
7,Rice,2.41,7.042
8,Rice,2.337,7.539
9,Rice,2.032,7.556
10,Rice,2.305,7.452
11,Rice,2.195,7.874
12,Rice,2.078,7.842
1,Inferior,2.342,7.632
13,Rice,2.197,7.679
14,Rice,2.137,7.587
1,Break,2.3,5.835
15,Rice,1.814,7.146
16,Rice,2.135,7.153
2,Inferior,2.225,6.898
3,Inferior,2.271,7.164
17,Rice,2.184,7.292
4,Inferior,2.076,6.497
5,Inferior,2.154,5.709
18,Rice,2.292,7.502
6,Inferior,2.341,5.962
2,Break,2.139,5.701
7,Inferior,2.417,6.953
