Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.541,6.301
2,Rice,2.362,6.133
3,Rice,2.508,6.747
4,Rice,2.37,6.69
5,Rice,2.386,6.646
6,Rice,2.448,6.343
1,Break,2.253,3.202
7,Rice,2.541,6.649
8,Rice,2.533,6.335
9,Rice,2.519,6.262
10,Rice,2.355,6.975
11,Rice,2.364,6.254
12,Rice,2.376,6.398
13,Rice,2.369,6.464
14,Rice,2.475,6.478
15,Rice,2.449,6.534
16,Rice,2.427,6.685
17,Rice,2.349,6.583
18,Rice,2.446,6.601
19,Rice,2.432,6.628
20,Rice,2.534,6.713
21,Rice,2.268,6.535
22,Rice,2.325,6.806
23,Rice,2.392,6.625
1,Inferior,2.34,6.308
24,Rice,2.437,6.624
2,Inferior,2.142,5.292
25,Rice,2.561,6.413
3,Inferior,2.246,6.386
26,Rice,2.248,6.293
