Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.173,6.236
2,Rice,2.203,6.149
3,Rice,2.207,6.494
4,Rice,2.089,6.26
5,Rice,2.045,6.068
6,Rice,2.193,6.489
7,Rice,2.074,6.138
1,Break,2.018,4.57
1,Rice,2.263,6.186
2,Rice,2.391,6.278
3,Rice,2.294,6.226
4,Rice,2.292,6.725
5,Rice,2.011,6.54
6,Rice,2.373,7.001
7,Rice,2.149,6.397
1,Break,1.808,3.007
2,Break,1.87,3.188
3,Break,1.863,2.815
4,Break,2.095,2.942
1,Rice,2.382,6.422
2,Rice,2.268,6.829
3,Rice,2.346,5.898
4,Rice,2.28,6.193
5,Rice,2.312,6.545
6,Rice,2.232,6.373
1,Rice,2.427,6.437
2,Rice,2.337,6.106
3,Rice,2.337,6.72
4,Rice,2.251,6.485
5,Rice,2.354,6.443
6,Rice,2.117,6.726
7,Rice,2.32,6.181
8,Rice,2.314,6.778
9,Rice,2.002,5.991
1,Break,2.285,5.649
1,Rice,2.366,6.479
2,Rice,2.291,6.301
3,Rice,2.136,6.334
4,Rice,2.315,6.433
5,Rice,2.138,6.451
6,Rice,2.345,5.917
7,Rice,2.301,6.794
8,Rice,2.34,6.276
1,Break,2.152,4.84
9,Rice,2.279,6.288
10,Rice,2.497,6.667
2,Break,2.039,5.337
1,Inferior,2.269,6.244
11,Rice,2.236,6.122
2,Inferior,2.223,6.122
1,Rice,2.014,6.271
2,Rice,2.11,6.744
3,Rice,2.328,6.795
4,Rice,2.245,6.502
5,Rice,2.328,6.492
6,Rice,2.378,6.587
7,Rice,2.357,6.297
8,Rice,2.296,6.505
9,Rice,2.363,6.218
10,Rice,2.302,6.417
1,Inferior,2.034,5.831
1,Break,2.323,6.239
11,Rice,2.014,5.096
2,Inferior,2.004,5.616
2,Break,2.18,5.038
3,Inferior,2.154,5.933
12,Rice,2.101,6.19
4,Inferior,2.136,5.206
1,Rice,2.206,6.301
2,Rice,2.339,6.497
3,Rice,2.449,6.976
4,Rice,2.311,6.247
5,Rice,2.436,5.936
6,Rice,2.447,6.592
7,Rice,2.28,6.446
8,Rice,2.399,6.295
9,Rice,2.409,6.478
10,Rice,2.421,6.578
11,Rice,2.215,6.017
12,Rice,2.24,6.11
1,Break,2.183,3.756
13,Rice,2.372,6.832
14,Rice,2.315,6.212
1,Rice,2.328,6.78
2,Rice,2.346,6.61
3,Rice,2.165,6.423
4,Rice,2.379,6.311
5,Rice,2.357,6.727
6,Rice,2.15,6.184
7,Rice,2.015,5.917
8,Rice,2.258,6.552
9,Rice,2.434,6.498
1,Break,2.188,4.839
10,Rice,2.261,5.813
11,Rice,2.35,6.358
12,Rice,1.981,6.123
13,Rice,2.118,5.858
14,Rice,1.825,5.967
15,Rice,1.926,6.202
2,Break,2.036,5.442
3,Break,1.615,2.169
4,Break,1.614,4.406
5,Break,2.367,5.532
1,Rice,2.471,6.75
2,Rice,2.385,6.716
3,Rice,2.371,6.348
4,Rice,2.475,6.479
5,Rice,2.275,6.407
6,Rice,2.487,6.709
7,Rice,2.034,6.492
8,Rice,2.476,6.517
9,Rice,2.402,6.334
10,Rice,2.442,6.204
11,Rice,2.318,6.547
12,Rice,2.365,6.359
13,Rice,2.608,6.634
14,Rice,2.229,6.517
15,Rice,2.394,6.46
16,Rice,2.141,6.462
17,Rice,2.315,6.305
18,Rice,2.256,6.336
19,Rice,2.171,6.254
20,Rice,2.35,6.11
21,Rice,2.467,6.132
22,Rice,2.009,6.121
23,Rice,2.252,6.188
1,Inferior,2.015,5.482
24,Rice,2.344,5.757
25,Rice,2.282,5.89
26,Rice,2.134,6.027
27,Rice,2.164,6.221
28,Rice,1.994,6.506
1,Rice,2.228,6.498
2,Rice,2.29,6.002
3,Rice,2.178,6.225
4,Rice,2.417,6.115
5,Rice,2.219,6.035
6,Rice,1.741,5.83
7,Rice,2.388,6.464
8,Rice,2.404,6.31
9,Rice,1.947,5.736
1,Break,2.335,5.009
10,Rice,2.317,5.96
