Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.411,6.06
2,Rice,2.349,5.567
3,Rice,2.633,5.69
4,Rice,2.468,5.694
5,Rice,2.567,5.928
6,Rice,2.485,5.687
7,Rice,2.518,5.92
8,Rice,2.49,5.592
9,Rice,2.269,6.299
10,Rice,2.24,5.434
11,Rice,2.41,5.802
12,Rice,2.669,5.538
13,Rice,2.475,5.954
14,Rice,2.461,5.63
15,Rice,2.446,5.299
16,Rice,2.539,5.709
17,Rice,2.29,5.718
18,Rice,2.519,5.969
19,Rice,2.492,5.875
20,Rice,2.386,5.887
1,Break,2.467,5.02
1,Rice,2.636,6.198
2,Rice,2.566,6.168
3,Rice,2.598,5.863
4,Rice,2.556,5.989
5,Rice,2.455,5.355
6,Rice,2.571,6.05
7,Rice,2.335,5.587
8,Rice,2.371,5.503
1,Inferior,2.509,5.85
1,Rice,2.416,5.861
2,Rice,2.537,6.651
3,Rice,2.391,6.438
4,Rice,2.596,6.713
5,Rice,2.519,6.265
6,Rice,2.453,6.755
7,Rice,2.521,6.477
8,Rice,2.548,6.119
1,Break,2.418,4.96
9,Rice,2.28,5.902
2,Break,2.281,5.849
1,Rice,2.359,6.355
2,Rice,2.371,5.99
3,Rice,2.348,5.954
4,Rice,2.441,6.356
5,Rice,2.203,6.102
6,Rice,1.918,5.65
7,Rice,2.503,6.571
8,Rice,2.243,5.653
9,Rice,2.256,6.229
1,Break,2.164,5.002
10,Rice,2.204,6.161
2,Break,2.259,5.264
3,Break,2.374,4.962
11,Rice,2.261,5.271
12,Rice,2.375,4.885
1,Rice,2.525,6.28
2,Rice,2.659,6.345
3,Rice,2.706,6.029
4,Rice,2.355,5.763
5,Rice,2.517,5.946
6,Rice,2.54,5.927
7,Rice,2.47,6.131
8,Rice,2.487,5.583
9,Rice,2.021,6.274
1,Break,2.378,4.9
10,Rice,2.34,4.467
2,Break,2.328,4.464
3,Break,2.278,5.39
4,Break,1.041,1.552
1,Rice,2.744,6.405
2,Rice,2.472,5.8
3,Rice,2.565,6.494
4,Rice,2.349,5.969
5,Rice,2.665,6.517
6,Rice,2.418,5.799
7,Rice,2.353,6.279
8,Rice,2.42,6.733
9,Rice,2.6,6.493
10,Rice,2.192,6.132
11,Rice,2.519,6.497
12,Rice,2.671,6.685
13,Rice,2.667,6.181
1,Break,2.436,5.04
14,Rice,2.429,5.483
15,Rice,2.436,6.374
1,Inferior,2.252,6.175
2,Inferior,2.095,6.404
2,Break,2.328,5.08
16,Rice,2.415,6.065
3,Inferior,2.412,6.062
1,Rice,2.348,6.092
2,Rice,2.17,6.124
3,Rice,2.435,5.954
4,Rice,2.228,6.047
5,Rice,2.299,5.627
6,Rice,2.44,5.942
1,Rice,2.328,6.524
2,Rice,2.315,6.546
3,Rice,2.459,6.348
4,Rice,2.439,6.566
5,Rice,2.461,6.599
6,Rice,2.471,6.201
7,Rice,2.477,6.625
8,Rice,2.59,6.957
9,Rice,2.487,6.529
1,Break,2.647,4.901
10,Rice,2.274,6.39
11,Rice,2.614,6.69
2,Break,2.608,6.641
1,Rice,2.458,6.111
2,Rice,2.29,5.747
3,Rice,2.218,5.637
4,Rice,2.423,6.039
5,Rice,2.408,5.776
6,Rice,2.125,5.811
7,Rice,2.495,6.001
8,Rice,2.155,5.825
9,Rice,2.036,6.122
10,Rice,2.21,5.597
11,Rice,2.256,5.595
12,Rice,2.2,5.553
13,Rice,2.424,6.1
14,Rice,2.214,5.557
15,Rice,2.124,5.454
16,Rice,2.344,6.035
17,Rice,2.295,6.014
18,Rice,2.214,5.888
19,Rice,2.302,6.004
20,Rice,2.157,5.686
21,Rice,2.169,5.611
22,Rice,2.328,6.032
23,Rice,2.074,5.736
24,Rice,2.074,5.969
25,Rice,2.393,6.045
26,Rice,2.199,5.767
27,Rice,2.214,6.079
1,Rice,2.594,5.998
2,Rice,2.623,6.123
3,Rice,2.544,6.088
4,Rice,2.638,6.016
5,Rice,2.516,5.96
6,Rice,2.527,5.938
7,Rice,2.239,5.315
8,Rice,2.362,5.432
