Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.501,6.721
2,Rice,2.459,6.528
3,Rice,2.419,6.734
4,Rice,2.521,6.781
5,Rice,2.348,6.814
6,Rice,2.472,6.727
7,Rice,2.372,6.555
8,Rice,2.454,6.832
9,Rice,2.17,6.605
10,Rice,2.512,6.509
11,Rice,2.348,6.626
12,Rice,2.488,6.709
13,Rice,2.439,6.319
14,Rice,2.511,6.619
15,Rice,2.261,6.74
16,Rice,2.467,6.39
17,Rice,2.597,6.347
18,Rice,2.487,6.562
19,Rice,2.49,6.53
20,Rice,2.563,6.484
21,Rice,2.407,6.318
22,Rice,2.469,6.238
23,Rice,2.422,6.613
24,Rice,2.484,6.54
25,Rice,2.54,6.748
26,Rice,2.321,6.649
27,Rice,2.531,6.629
28,Rice,2.47,6.747
29,Rice,2.286,6.945
30,Rice,2.431,6.39
31,Rice,2.419,6.676
32,Rice,2.528,6.163
1,Break,1.137,1.736
2,Break,2.514,6.029
33,Rice,2.368,6.129
