Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.082,7.566
2,Rice,2.402,7.206
3,Rice,2.24,7.34
4,Rice,2.196,6.972
5,Rice,2.23,7.461
6,Rice,2.299,7.393
7,Rice,2.381,7.661
8,Rice,2.284,7.397
9,Rice,2.305,7.573
10,Rice,2.403,7.364
11,Rice,2.416,7.258
12,Rice,2.236,7.652
13,Rice,2.338,7.232
14,Rice,2.146,7.563
15,Rice,2.408,7.73
16,Rice,2.031,7.569
17,Rice,2.289,7.194
18,Rice,2.034,7.595
19,Rice,2.049,6.457
20,Rice,2.258,6.704
21,Rice,2.223,7.768
1,Inferior,2.175,6.676
22,Rice,2.286,6.964
2,Inferior,1.566,5.863
1,Break,2.085,5.066
23,Rice,2.034,7.524
24,Rice,2.286,6.904
