Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.337,7.412
2,Rice,2.27,7.167
3,Rice,2.0,7.021
4,Rice,2.258,6.585
5,Rice,2.282,7.093
6,Rice,2.373,7.19
7,Rice,2.259,6.465
8,Rice,2.225,7.034
9,Rice,2.423,7.097
10,Rice,2.313,6.637
11,Rice,2.423,7.231
12,Rice,2.257,7.217
13,Rice,2.269,6.825
14,Rice,2.309,7.454
15,Rice,2.302,7.117
16,Rice,2.192,7.277
17,Rice,2.326,6.97
18,Rice,2.229,6.44
19,Rice,2.319,7.63
20,Rice,2.259,6.774
21,Rice,2.252,6.474
22,Rice,2.273,6.593
23,Rice,2.293,7.12
24,Rice,2.338,6.407
25,Rice,2.358,7.02
26,Rice,1.948,6.491
27,Rice,2.035,6.749
28,Rice,2.333,7.15
29,Rice,2.294,7.021
30,Rice,2.322,6.846
31,Rice,2.352,6.768
32,Rice,2.382,6.942
33,Rice,2.312,6.917
34,Rice,2.325,7.162
35,Rice,2.231,6.972
36,Rice,2.375,7.219
37,Rice,2.279,6.807
38,Rice,2.228,7.507
39,Rice,2.35,6.638
40,Rice,2.013,6.448
41,Rice,2.294,6.138
42,Rice,1.932,6.199
43,Rice,2.393,7.259
44,Rice,2.373,6.981
45,Rice,2.284,6.353
46,Rice,2.306,5.994
47,Rice,2.454,6.959
