Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.38,6.828
2,Rice,2.461,6.614
3,Rice,2.448,7.14
4,Rice,2.446,7.036
5,Rice,2.379,7.193
6,Rice,2.459,6.945
7,Rice,2.509,6.84
8,Rice,2.573,6.567
9,Rice,2.513,6.992
10,Rice,2.518,6.927
11,Rice,2.478,6.79
12,Rice,2.431,6.255
13,Rice,2.464,6.296
14,Rice,2.303,6.342
15,Rice,2.406,6.631
16,Rice,2.387,6.522
17,Rice,2.487,7.157
18,Rice,2.391,7.056
19,Rice,2.296,6.866
20,Rice,2.395,7.05
21,Rice,2.305,6.825
22,Rice,2.356,6.716
23,Rice,2.479,6.797
24,Rice,2.355,6.867
25,Rice,1.964,5.691
26,Rice,2.452,6.766
27,Rice,2.494,6.895
28,Rice,2.349,6.667
29,Rice,2.328,6.731
30,Rice,2.413,6.773
31,Rice,2.349,6.985
