Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.411,6.446
2,Rice,2.432,6.829
3,Rice,2.46,6.763
4,Rice,2.463,6.562
5,Rice,2.343,6.36
6,Rice,2.457,6.644
7,Rice,2.439,6.501
8,Rice,2.092,6.402
9,Rice,2.465,6.945
10,Rice,2.286,6.731
11,Rice,2.416,6.515
12,Rice,2.341,6.72
13,Rice,2.395,7.014
14,Rice,2.425,6.586
15,Rice,2.31,6.813
16,Rice,2.401,6.823
17,Rice,2.329,6.801
18,Rice,2.331,6.872
19,Rice,2.462,6.673
1,Break,1.87,2.789
20,Rice,2.397,6.513
21,Rice,2.25,6.555
22,Rice,2.32,6.555
23,Rice,2.315,6.565
24,Rice,2.117,6.681
25,Rice,2.454,6.607
26,Rice,2.52,6.604
27,Rice,2.503,6.474
28,Rice,2.392,6.583
29,Rice,2.328,6.985
30,Rice,2.283,6.535
31,Rice,2.404,6.699
32,Rice,2.45,6.814
33,Rice,2.383,5.356
