Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.256,6.696
2,Rice,2.519,6.943
3,Rice,2.492,6.619
4,Rice,2.462,6.888
5,Rice,2.535,7.086
6,Rice,2.507,6.81
7,Rice,2.452,7.201
8,Rice,2.499,6.682
9,Rice,2.408,7.09
10,Rice,2.454,6.884
11,Rice,2.436,7.099
12,Rice,2.417,6.632
13,Rice,2.399,6.935
14,Rice,2.393,6.439
15,Rice,2.473,6.925
1,Inferior,2.393,6.54
16,Rice,2.427,6.91
1,Break,2.346,4.601
2,Break,2.578,2.596
17,Rice,2.339,6.99
18,Rice,2.497,6.633
2,Inferior,2.297,6.509
19,Rice,1.972,6.627
20,Rice,2.394,6.675
3,Inferior,2.278,6.288
4,Inferior,2.327,5.512
21,Rice,2.29,6.724
22,Rice,2.277,6.296
23,Rice,2.295,6.611
24,Rice,2.376,6.835
5,Inferior,2.394,6.991
25,Rice,2.074,6.244
26,Rice,2.401,7.016
