Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.454,7.303
2,Rice,2.364,6.761
3,Rice,2.296,7.469
4,Rice,2.339,6.521
5,Rice,2.36,7.217
6,Rice,2.396,6.599
7,Rice,2.315,6.423
8,Rice,2.316,7.122
9,Rice,2.373,7.122
10,Rice,1.988,7.469
11,Rice,2.017,6.628
12,Rice,2.252,7.286
13,Rice,2.435,6.898
14,Rice,2.146,6.83
15,Rice,2.469,6.672
16,Rice,2.42,6.825
17,Rice,2.447,6.495
18,Rice,2.497,6.58
19,Rice,2.381,6.494
20,Rice,2.249,6.735
21,Rice,2.366,7.069
22,Rice,2.373,7.031
23,Rice,2.381,7.347
24,Rice,2.371,6.921
25,Rice,2.373,6.368
26,Rice,2.329,6.749
27,Rice,2.418,6.588
28,Rice,2.384,6.526
29,Rice,2.471,6.61
30,Rice,2.425,6.578
31,Rice,2.322,7.311
32,Rice,2.435,6.895
33,Rice,2.437,6.855
34,Rice,2.249,6.742
35,Rice,2.477,7.121
36,Rice,2.396,7.183
37,Rice,2.398,6.894
38,Rice,2.249,7.318
39,Rice,2.329,6.771
40,Rice,2.344,6.938
41,Rice,2.211,6.941
42,Rice,2.276,7.591
1,Inferior,2.276,6.258
