Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.415,7.136
2,Rice,2.464,7.336
3,Rice,2.429,7.546
4,Rice,2.48,7.581
5,Rice,1.964,7.244
6,Rice,2.111,7.689
7,Rice,2.465,7.362
8,Rice,2.39,7.103
9,Rice,2.421,7.575
10,Rice,2.053,7.783
11,Rice,2.23,7.242
12,Rice,2.394,7.589
13,Rice,2.196,7.338
14,Rice,2.526,7.519
15,Rice,2.387,7.638
16,Rice,2.538,7.49
17,Rice,2.251,7.349
1,Inferior,2.178,6.522
18,Rice,2.465,7.759
2,Inferior,1.901,6.496
19,Rice,2.224,6.572
20,Rice,2.27,6.934
21,Rice,2.002,7.632
1,Break,1.89,3.653
22,Rice,2.113,7.153
3,Inferior,2.489,7.797
2,Break,2.392,4.463
