Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.285,7.272
2,Rice,2.356,7.249
3,Rice,2.382,7.174
4,Rice,2.352,7.065
5,Rice,2.188,7.419
6,Rice,2.314,7.006
7,Rice,2.367,6.726
8,Rice,2.32,6.952
9,Rice,2.243,7.492
10,Rice,2.492,7.2
11,Rice,2.386,6.909
12,Rice,2.134,7.117
13,Rice,2.397,7.175
14,Rice,2.303,7.229
15,Rice,2.369,6.981
16,Rice,2.464,6.99
17,Rice,2.438,7.028
18,Rice,2.337,6.932
19,Rice,2.269,6.377
20,Rice,2.36,6.793
21,Rice,2.448,6.884
22,Rice,2.403,6.866
23,Rice,2.405,7.152
24,Rice,2.342,6.979
25,Rice,2.336,6.996
26,Rice,2.467,6.992
27,Rice,2.235,6.549
28,Rice,2.361,6.64
29,Rice,2.269,7.106
30,Rice,2.387,7.173
31,Rice,2.398,6.559
32,Rice,2.353,6.596
33,Rice,2.375,7.23
34,Rice,2.333,6.797
35,Rice,2.345,7.396
36,Rice,2.405,7.103
37,Rice,2.353,7.27
38,Rice,2.244,7.154
39,Rice,2.352,7.053
40,Rice,2.211,7.177
41,Rice,2.408,7.252
42,Rice,2.387,6.6
43,Rice,2.273,6.629
44,Rice,2.26,6.777
45,Rice,2.524,7.216
46,Rice,2.404,7.118
47,Rice,2.394,7.033
48,Rice,2.402,6.628
49,Rice,2.405,7.119
50,Rice,2.451,7.33
51,Rice,2.278,7.097
52,Rice,2.442,6.872
53,Rice,2.477,6.943
54,Rice,2.335,6.456
55,Rice,2.498,7.433
56,Rice,2.36,6.848
1,Inferior,2.466,6.534
57,Rice,2.199,6.866
